Name,Number_of_Ratings,Rating,Longitude,Latitude,Category
صيدلية كنوز,43.0,4.1,46.5738499,24.7511302,pharmacies
صيدلية دلتا (),29.0,3.1,46.6245432,24.8909462,pharmacies
صيدلية وصفات الشفاء,29.0,4.2,46.7093538,24.7783035,pharmacies
صيدلية النهدي,93.0,3.9,46.7867255,24.5750612,pharmacies
صيدلية النهدي,70.0,4.9,46.7507758,24.8417025,pharmacies
Zahwa Pharmacy,6.0,4.2,46.7397038,24.7594304,pharmacies
صيدلية ليمون,18.0,4.0,46.7131582,24.7673034,pharmacies
صيدلية وايتس,13.0,4.0,46.75293449999999,24.6887263,pharmacies
صيدلية النهدي,14.0,3.6,46.6583101,24.809556,pharmacies
صيدلية المتحدة,24.0,4.8,46.8083865,24.7677306,pharmacies
Al Alam Pharmacy,15.0,3.3,46.7613027,24.7643207,pharmacies
صيدلية بلو  الطبية,22.0,4.0,46.8425014,24.7013148,pharmacies
صيدلية ليمون,32.0,3.9,46.6870625,24.6810625,pharmacies
صيدلية النهدي,246.0,4.0,46.68945799999999,24.773308,pharmacies
صيدلية النهدي,58.0,4.0,46.7016534,24.7914225,pharmacies
صيدلية هرم الصحة,23.0,4.8,46.7283778,24.5523544,pharmacies
صيدلية الدواء,30.0,2.7,46.7359456,24.8097443,pharmacies
صيدلية النهدي,37.0,3.9,46.872544,24.814758,pharmacies
Anwar AlRiyadh Pharmacy,32.0,3.4,46.6752356,24.6842572,pharmacies
Ghodaf Pharmacy  غداف صيدلية,10.0,4.0,46.8586143,24.6149908,pharmacies
OceanPharmacy,12.0,4.1,46.6655307,24.5925093,pharmacies
صيدلية اورانج,23.0,4.3,46.6667381,24.6754824,pharmacies
صيدلية آدم,45.0,4.1,46.665588,24.5268056,pharmacies
صيدلية وقاية,12.0,3.5,46.7752693,24.7164102,pharmacies
صيدلية زهرة الروضة,38.0,4.0,46.7237707,24.5384463,pharmacies
Charisma Pharmacy,15.0,3.5,46.65694149999999,24.5433246,pharmacies
صيدلية الدواء,168.0,3.9,46.5968854,24.5848345,pharmacies
صيدلية انوفا,7.0,4.1,46.7963216,24.5721748,pharmacies
صيدلية آدم,76.0,4.0,46.7657704,24.8114125,pharmacies
Pharmacy enayat Alsomou صيدلية عناية السمو,40.0,4.3,46.61518179999999,24.8746447,pharmacies
صيدلية النهدي,21.0,3.8,46.664474,24.777283,pharmacies
صيدلية آدم,89.0,4.1,46.6018601,24.8081438,pharmacies
صيدلية النهدي,155.0,4.1,46.600274,24.812046,pharmacies
صيدلية صحة ورعاية,17.0,4.6,46.6969117,24.6279302,pharmacies
صيدلية الترياق المتميز,12.0,4.8,46.5675445,24.5595229,pharmacies
Pharmacy DANAH,11.0,4.2,46.843932,24.6965515,pharmacies
صيدلية انوفا,10.0,2.7,46.6466159,24.6125491,pharmacies
صيدلية محمد وجيه القباني,9.0,3.7,46.7204625,24.6130299,pharmacies
صيدلية ماسة الصحةالثالثة,5.0,5.0,46.6547285,24.5298564,pharmacies
صيدلية الشافي,34.0,4.2,46.765173,24.6877494,pharmacies
صيدلية زائد اثنين للأدوية السادسة,32.0,4.5,46.5727515,24.6541356,pharmacies
صيدلية دلتا (),14.0,3.7,46.6885656,24.5295998,pharmacies
صيدلية زهرة الروضة,14.0,4.3,46.74763249999999,24.7332631,pharmacies
